iter	RMSE
363	4.30251453
364	4.298804096
365	4.298070166
366	4.293383678
367	4.290881462
368	4.290563037
369	4.286470092
370	4.285996483
371	4.28222593
372	4.279639294
373	4.27874074
374	4.275699551
375	4.273332621
376	4.267750345
377	4.262688311
378	4.261808934
379	4.256077671
380	4.253874726
381	4.249592897
382	4.248781992
383	4.244214262
384	4.243142962
385	4.242901297
386	4.240733751
387	4.239029209
388	4.236039282
389	4.232362966
390	4.229198667
391	4.228914406
392	4.227628082
393	4.224917996
394	4.224691307
395	4.223530811
396	4.222879046
397	4.21811536
398	4.214966143
399	4.211468288
400	4.206494345
401	4.202879384
402	4.199733061
403	4.198949839
404	4.194786033
405	4.192256236
406	4.189151784
407	4.185307344
408	4.182937357
409	4.179718282
410	4.174755413
411	4.173558597
412	4.171046302
413	4.167036949
414	4.164445406
415	4.161711799
416	4.157038392
417	4.156113491
418	4.155610766
419	4.155313282
420	4.154506611
421	4.150695702
422	4.148176965
423	4.147963914
424	4.143312484
425	4.141659902
426	4.139776321
427	4.135143966
428	4.132938669
429	4.132060531
430	4.130128601
431	4.128181114
432	4.124552469
433	4.12256538
434	4.119552383
435	4.116796565
436	4.111847541
437	4.108683969
438	4.107681743
439	4.10365682
440	4.100563152
441	4.096493574
442	4.094957876
443	4.091317875
444	4.089172098
445	4.085687717
446	4.083782742
447	4.080750744
448	4.076699801
449	4.07095214
450	4.068621011
451	4.064916863
452	4.063419671
453	4.062500339
454	4.060702836
455	4.05986884
456	4.057372291
457	4.053606154
458	4.051973686
459	4.049201272
460	4.046307736
461	4.043933029
462	4.043795209
463	4.041731256
464	4.03906138
465	4.035576865
466	4.031217851
467	4.028047066
468	4.027643591
469	4.026289981
470	4.022555332
471	4.018838505
472	4.017534055
473	4.015561713
474	4.01377427
475	4.010693947
476	4.007723698
477	4.006121007
478	4.003603399
479	4.000282357
480	3.996043606
481	3.995240495
482	3.993249518
483	3.990502629
484	3.990192028
485	3.986889616
486	3.983785491
487	3.983314389
488	3.978464769
489	3.977102004
490	3.976937791
491	3.97361537
492	3.972402623
493	3.968515814
494	3.965319275
495	3.961122474
496	3.957826667
497	3.956128869
498	3.951979175
499	3.948959262
500	3.945429987
501	3.94293588
502	3.939717906
503	3.938429743
504	3.936723947
505	3.934655765
506	3.933351517
507	3.929096451
508	3.926608807
509	3.924656548
510	3.920505623
511	3.9174712
512	3.914703105
513	3.910874172
514	3.90757659
515	3.906568777
516	3.905953655
517	3.904575039
518	3.904370009
519	3.904195392
520	3.901260955
521	3.897933316
522	3.895932805
523	3.895231705
524	3.892524043
525	3.890106805
526	3.888834825
527	3.888651958
528	3.886999413
529	3.884174288
530	3.881447419
531	3.878127953
532	3.874968858
533	3.870179398
534	3.8700527
535	3.866358885
536	3.863190402
537	3.863028652
538	3.860486731
539	3.858682868
540	3.855998337
541	3.853874135
542	3.851144336
543	3.85071856
544	3.84985839
545	3.848378779
546	3.847289706
547	3.844218695
548	3.84318694
549	3.841606245
550	3.84150836
551	3.839833954
552	3.835821152
553	3.83376539
554	3.833479714
555	3.829044999
556	3.827356517
557	3.826672896
558	3.825580577
559	3.823235742
560	3.820984968
561	3.818199108
562	3.815933146
563	3.814186736
564	3.812475863
565	3.810793718
566	3.806651867
567	3.805136734
568	3.803259443
569	3.801847924
570	3.798169167
571	3.794197749
572	3.792237912
573	3.790541826
574	3.787976682
575	3.784294283
576	3.78108759
577	3.780908859
578	3.778293067
579	3.775045855
580	3.770946055
581	3.767537293
582	3.764495614
583	3.76164619
584	3.760890809
585	3.758742872
586	3.754333425
587	3.749347889
588	3.746279772
589	3.746072576
590	3.745968971
591	3.743797801
592	3.743043774
593	3.740338273
594	3.738187218
595	3.735326035
596	3.735118226
597	3.733039973
598	3.731791869
599	3.731082166
600	3.730918193
601	3.729705351
602	3.729498791
603	3.725860384
604	3.724094085
605	3.72006577
606	3.717308672
607	3.716821055
608	3.715793515
609	3.713337089
610	3.711270984
611	3.708506271
612	3.705772917
613	3.701213453
614	3.69942588
615	3.695742863
616	3.691411551
617	3.691251295
618	3.687777302
619	3.682730555
620	3.680353707
621	3.675689461
622	3.673641626
623	3.672071846
624	3.670471445
625	3.669070798
626	3.668665729
627	3.667845024
628	3.667676974
629	3.664929379
630	3.662908289
631	3.661697607
632	3.659670287
633	3.657187442
634	3.656025365
635	3.654609493
636	3.651935444
637	3.651760627
638	3.65165633
639	3.650085301
640	3.647742681
641	3.645181714
642	3.643945534
643	3.641483202
644	3.638331471
645	3.638190366
646	3.635746039
647	3.630267712
648	3.629742553
649	3.627669403
650	3.626191094
651	3.625298331
652	3.624369354
653	3.621838147
654	3.620567752
655	3.618816196
656	3.618711671
657	3.618489625
658	3.61594819
659	3.614960859
660	3.61486159
661	3.611433362
662	3.608527867
663	3.606561431
664	3.605362292
665	3.605194756
666	3.605072959
667	3.604200629
668	3.603867455
669	3.602939385
670	3.598073587
671	3.595790553
672	3.592310796
673	3.58919838
674	3.586463545
675	3.58558241
676	3.585512583
677	3.584385986
678	3.58106436
679	3.579980239
680	3.577676857
681	3.576273135
682	3.574466481
683	3.572289868
684	3.571129084
685	3.571042693
686	3.570422578
687	3.567966549
688	3.564605202
689	3.563218364
690	3.562120075
691	3.559103235
692	3.557928861
693	3.555169991
694	3.553313382
695	3.550970474
696	3.549933336
697	3.548410147
698	3.546127489
699	3.545947777
700	3.543099119
701	3.540583588
702	3.536813862
703	3.535186517
704	3.532573928
705	3.529141963
706	3.529038737
707	3.52782923
708	3.523135004
709	3.521301144
710	3.520903599
711	3.518971786
712	3.516177347
713	3.513952255
714	3.51185368
715	3.510027565
716	3.508828084
717	3.507076872
718	3.506214812
719	3.505388492
720	3.501533595
721	3.499705115
722	3.49858575
723	3.497606734
724	3.496212378
725	3.49466395
726	3.492946598
727	3.490286053
728	3.490197316
729	3.490055135
730	3.488103016
731	3.487018653
732	3.486250531
733	3.484525791
734	3.483738824
735	3.482367829
736	3.480382609
737	3.477883937
738	3.476736217
739	3.47668174
740	3.475337778
741	3.474692154
742	3.472743452
743	3.470412115
744	3.469575487
745	3.467186448
746	3.466345745
747	3.46515955
748	3.464962484
749	3.462919251
750	3.460589838
751	3.457759339
752	3.455090767
753	3.454871382
754	3.452917367
755	3.451669599
756	3.448466883
757	3.446379651
758	3.445322117
759	3.444705097
760	3.442192691
761	3.442055969
762	3.44044398
763	3.437627572
764	3.43518349
765	3.435076203
766	3.435029198
767	3.432685995
768	3.429499203
769	3.425557287
770	3.423950455
771	3.42134411
772	3.420215887
773	3.419637204
774	3.418562774
775	3.417755326
776	3.416232661
777	3.411791867
778	3.411012294
779	3.40924153
780	3.408574105
781	3.406452234
782	3.404927886
783	3.403132106
784	3.403058179
785	3.399893523
786	3.396455159
787	3.394432817
788	3.392896569
789	3.391560406
790	3.390985313
791	3.389537824
792	3.388641143
793	3.387477328
794	3.38676106
795	3.385312608
796	3.384339709
797	3.382476468
798	3.378890333
799	3.376355461
800	3.373071807
801	3.37161392
802	3.370834564
803	3.36775842
804	3.366092966
805	3.365053236
806	3.364482077
807	3.363229502
808	3.361164656
809	3.360912847
810	3.35848278
811	3.355150641
812	3.354385681
813	3.35304076
814	3.351795091
815	3.350343247
816	3.349659628
817	3.348399061
818	3.346918385
819	3.34478587
820	3.34466776
821	3.343541406
822	3.343035896
823	3.339903106
824	3.337794283
825	3.33620749
826	3.335723404
827	3.335168634
828	3.332855425
829	3.33271166
830	3.330678363
831	3.329528631
832	3.32879577
833	3.326194677
834	3.324918897
835	3.32248947
836	3.320290229
837	3.317964868
838	3.316026698
839	3.313927745
840	3.311128803
841	3.307777449
842	3.306479157
843	3.303392341
844	3.3004638
845	3.300143666
846	3.299466642
847	3.297338445
848	3.295413477
849	3.294289021
850	3.293432538
851	3.292093755
852	3.291935567
853	3.289744455
854	3.288867319
855	3.28748394
856	3.286220008
857	3.283675025
858	3.283307574
859	3.280071111
860	3.277297836
861	3.276413175
862	3.272905444
863	3.271275406
864	3.268683508
865	3.267908343
866	3.267299311
867	3.266055128
868	3.265764302
869	3.263854406
870	3.261076914
871	3.260153886
872	3.259138335
873	3.257936684
874	3.25714279
875	3.255558651
876	3.255382236
877	3.253678044
878	3.252360333
879	3.251639369
880	3.250340014
881	3.249113862
882	3.248057869
883	3.247451811
884	3.245253311
885	3.244062122
886	3.243186153
887	3.242524703
888	3.241437728
889	3.239967618
890	3.238326681
891	3.237554317
892	3.236649996
893	3.235326635
894	3.234134141
895	3.231628437
896	3.229998724
897	3.227897606
898	3.225454032
899	3.22509313
900	3.223625016
901	3.223063028
902	3.222445769
903	3.219654055
904	3.215766618
905	3.212798615
906	3.210486043
907	3.209543559
908	3.208745088
909	3.206842878
910	3.205471645
911	3.20398275
912	3.201298217
913	3.200588081
914	3.199699989
915	3.197145207
916	3.195224589
917	3.194066874
918	3.191818171
919	3.191682044
920	3.190867153
921	3.188487955
922	3.187485344
923	3.185583361
924	3.184564125
925	3.182515049
926	3.181743665
927	3.180296983
928	3.175375441
929	3.174661222
930	3.172892103
931	3.170879942
932	3.170154686
933	3.169038852
934	3.168111501
935	3.166173653
936	3.164290288
937	3.162022995
938	3.161259157
939	3.16106936
940	3.159098483
941	3.15803856
942	3.15546975
943	3.154318223
944	3.152399007
945	3.149473048
946	3.149310637
947	3.14751266
948	3.146573357
949	3.146090868
950	3.145401716
951	3.143588155
952	3.141781901
953	3.140409803
954	3.138139066
955	3.135282449
956	3.133381997
957	3.132915928
958	3.132256984
959	3.132178881
960	3.129202051
961	3.128453086
962	3.126537577
963	3.125896305
964	3.122619719
965	3.12158402
966	3.119954198
967	3.117435804
968	3.116804584
969	3.113557021
970	3.113495451
971	3.112482832
972	3.109862814
973	3.108675925
974	3.106779924
975	3.104185934
976	3.102463137
977	3.102105884
978	3.101131165
979	3.099089809
980	3.098054044
981	3.097306499
982	3.093861549
983	3.093039987
984	3.089954444
985	3.086760136
986	3.085570444
987	3.082690886
988	3.081823914
989	3.079895573
990	3.079795606
991	3.07717532
992	3.076266596
993	3.075430593
994	3.072906407
995	3.071461637
996	3.06848257
997	3.065630232
998	3.063073932
999	3.062519684
